"","X","parent","child"
"169",169,69.5,66.2
"170",170,69.5,66.2
"171",171,69.5,66.2
"172",172,69.5,66.2
"173",173,68.5,66.2
"174",174,68.5,66.2
"175",175,68.5,66.2
"176",176,68.5,66.2
"177",177,68.5,66.2
"178",178,68.5,66.2
"179",179,68.5,66.2
"180",180,68.5,66.2
"181",181,68.5,66.2
"182",182,68.5,66.2
"183",183,68.5,66.2
"184",184,68.5,66.2
"185",185,68.5,66.2
"186",186,68.5,66.2
"187",187,68.5,66.2
"188",188,68.5,66.2
"189",189,68.5,66.2
"190",190,68.5,66.2
"191",191,68.5,66.2
"192",192,68.5,66.2
"193",193,68.5,66.2
"194",194,68.5,66.2
"195",195,68.5,66.2
"196",196,68.5,66.2
"197",197,68.5,66.2
"198",198,67.5,66.2
"199",199,67.5,66.2
"200",200,67.5,66.2
"201",201,67.5,66.2
"202",202,67.5,66.2
"203",203,67.5,66.2
"204",204,67.5,66.2
"205",205,67.5,66.2
"206",206,67.5,66.2
"207",207,67.5,66.2
"208",208,67.5,66.2
"209",209,67.5,66.2
"210",210,67.5,66.2
"211",211,67.5,66.2
"212",212,67.5,66.2
"213",213,67.5,66.2
"214",214,67.5,66.2
"215",215,67.5,66.2
"216",216,67.5,66.2
"217",217,67.5,66.2
"218",218,67.5,66.2
"219",219,67.5,66.2
"220",220,67.5,66.2
"221",221,67.5,66.2
"222",222,67.5,66.2
"223",223,67.5,66.2
"224",224,67.5,66.2
"225",225,67.5,66.2
"226",226,67.5,66.2
"227",227,67.5,66.2
"228",228,67.5,66.2
"229",229,67.5,66.2
"230",230,67.5,66.2
"231",231,67.5,66.2
"232",232,67.5,66.2
"233",233,67.5,66.2
"234",234,66.5,66.2
"235",235,66.5,66.2
"236",236,66.5,66.2
"237",237,66.5,66.2
"238",238,66.5,66.2
"239",239,66.5,66.2
"240",240,66.5,66.2
"241",241,66.5,66.2
"242",242,66.5,66.2
"243",243,66.5,66.2
"244",244,66.5,66.2
"245",245,66.5,66.2
"246",246,66.5,66.2
"247",247,66.5,66.2
"248",248,66.5,66.2
"249",249,66.5,66.2
"250",250,66.5,66.2
"251",251,65.5,66.2
"252",252,65.5,66.2
"253",253,65.5,66.2
"254",254,65.5,66.2
"255",255,65.5,66.2
"256",256,65.5,66.2
"257",257,65.5,66.2
"258",258,65.5,66.2
"259",259,65.5,66.2
"260",260,65.5,66.2
"261",261,65.5,66.2
"262",262,64.5,66.2
"263",263,64.5,66.2
"264",264,64.5,66.2
"265",265,64.5,66.2
"266",266,64.5,66.2
"267",267,64,66.2
"268",268,64,66.2
"269",269,71.5,67.2
"270",270,71.5,67.2
"271",271,71.5,67.2
"272",272,71.5,67.2
"273",273,70.5,67.2
"274",274,70.5,67.2
"275",275,70.5,67.2
"276",276,69.5,67.2
"277",277,69.5,67.2
"278",278,69.5,67.2
"279",279,69.5,67.2
"280",280,69.5,67.2
"281",281,69.5,67.2
"282",282,69.5,67.2
"283",283,69.5,67.2
"284",284,69.5,67.2
"285",285,69.5,67.2
"286",286,69.5,67.2
"287",287,69.5,67.2
"288",288,69.5,67.2
"289",289,69.5,67.2
"290",290,69.5,67.2
"291",291,69.5,67.2
"292",292,69.5,67.2
"293",293,69.5,67.2
"294",294,69.5,67.2
"295",295,69.5,67.2
"296",296,69.5,67.2
"297",297,69.5,67.2
"298",298,69.5,67.2
"299",299,69.5,67.2
"300",300,69.5,67.2
"301",301,69.5,67.2
"302",302,69.5,67.2
"303",303,68.5,67.2
"304",304,68.5,67.2
"305",305,68.5,67.2
"306",306,68.5,67.2
"307",307,68.5,67.2
"308",308,68.5,67.2
"309",309,68.5,67.2
"310",310,68.5,67.2
"311",311,68.5,67.2
"312",312,68.5,67.2
"313",313,68.5,67.2
"314",314,68.5,67.2
"315",315,68.5,67.2
"316",316,68.5,67.2
"317",317,68.5,67.2
"318",318,68.5,67.2
"319",319,68.5,67.2
"320",320,68.5,67.2
"321",321,68.5,67.2
"322",322,68.5,67.2
"323",323,68.5,67.2
"324",324,68.5,67.2
"325",325,68.5,67.2
"326",326,68.5,67.2
"327",327,68.5,67.2
"328",328,68.5,67.2
"329",329,68.5,67.2
"330",330,68.5,67.2
"331",331,68.5,67.2
"332",332,68.5,67.2
"333",333,68.5,67.2
"334",334,67.5,67.2
"335",335,67.5,67.2
"336",336,67.5,67.2
"337",337,67.5,67.2
"338",338,67.5,67.2
"339",339,67.5,67.2
"340",340,67.5,67.2
"341",341,67.5,67.2
"342",342,67.5,67.2
"343",343,67.5,67.2
"344",344,67.5,67.2
"345",345,67.5,67.2
"346",346,67.5,67.2
"347",347,67.5,67.2
"348",348,67.5,67.2
"349",349,67.5,67.2
"350",350,67.5,67.2
"351",351,67.5,67.2
"352",352,67.5,67.2
"353",353,67.5,67.2
"354",354,67.5,67.2
"355",355,67.5,67.2
"356",356,67.5,67.2
"357",357,67.5,67.2
"358",358,67.5,67.2
"359",359,67.5,67.2
"360",360,67.5,67.2
"361",361,67.5,67.2
"362",362,67.5,67.2
"363",363,67.5,67.2
"364",364,67.5,67.2
"365",365,67.5,67.2
"366",366,67.5,67.2
"367",367,67.5,67.2
"368",368,67.5,67.2
"369",369,67.5,67.2
"370",370,67.5,67.2
"371",371,67.5,67.2
"372",372,66.5,67.2
"373",373,66.5,67.2
"374",374,66.5,67.2
"375",375,66.5,67.2
"376",376,66.5,67.2
"377",377,66.5,67.2
"378",378,66.5,67.2
"379",379,66.5,67.2
"380",380,66.5,67.2
"381",381,66.5,67.2
"382",382,66.5,67.2
"383",383,66.5,67.2
"384",384,66.5,67.2
"385",385,66.5,67.2
"386",386,66.5,67.2
"387",387,66.5,67.2
"388",388,66.5,67.2
"389",389,65.5,67.2
"390",390,65.5,67.2
"391",391,65.5,67.2
"392",392,65.5,67.2
"393",393,65.5,67.2
"394",394,65.5,67.2
"395",395,65.5,67.2
"396",396,65.5,67.2
"397",397,65.5,67.2
"398",398,65.5,67.2
"399",399,65.5,67.2
"400",400,64.5,67.2
"401",401,64.5,67.2
"402",402,64.5,67.2
"403",403,64.5,67.2
"404",404,64.5,67.2
"405",405,64,67.2
"406",406,64,67.2
"407",407,72.5,68.2
"408",408,71.5,68.2
"409",409,71.5,68.2
"410",410,71.5,68.2
"411",411,70.5,68.2
"412",412,70.5,68.2
"413",413,70.5,68.2
"414",414,70.5,68.2
"415",415,70.5,68.2
"416",416,70.5,68.2
"417",417,70.5,68.2
"418",418,70.5,68.2
"419",419,70.5,68.2
"420",420,70.5,68.2
"421",421,70.5,68.2
"422",422,70.5,68.2
"423",423,69.5,68.2
"424",424,69.5,68.2
"425",425,69.5,68.2
"426",426,69.5,68.2
"427",427,69.5,68.2
"428",428,69.5,68.2
"429",429,69.5,68.2
"430",430,69.5,68.2
"431",431,69.5,68.2
"432",432,69.5,68.2
"433",433,69.5,68.2
"434",434,69.5,68.2
"435",435,69.5,68.2
"436",436,69.5,68.2
"437",437,69.5,68.2
"438",438,69.5,68.2
"439",439,69.5,68.2
"440",440,69.5,68.2
"441",441,69.5,68.2
"442",442,69.5,68.2
"443",443,68.5,68.2
"444",444,68.5,68.2
"445",445,68.5,68.2
"446",446,68.5,68.2
"447",447,68.5,68.2
"448",448,68.5,68.2
"449",449,68.5,68.2
"450",450,68.5,68.2
"451",451,68.5,68.2
"452",452,68.5,68.2
"453",453,68.5,68.2
"454",454,68.5,68.2
"455",455,68.5,68.2
"456",456,68.5,68.2
"457",457,68.5,68.2
"458",458,68.5,68.2
"459",459,68.5,68.2
"460",460,68.5,68.2
"461",461,68.5,68.2
"462",462,68.5,68.2
"463",463,68.5,68.2
"464",464,68.5,68.2
"465",465,68.5,68.2
"466",466,68.5,68.2
"467",467,68.5,68.2
"468",468,68.5,68.2
"469",469,68.5,68.2
"470",470,68.5,68.2
"471",471,68.5,68.2
"472",472,68.5,68.2
"473",473,68.5,68.2
"474",474,68.5,68.2
"475",475,68.5,68.2
"476",476,68.5,68.2
"477",477,67.5,68.2
"478",478,67.5,68.2
"479",479,67.5,68.2
"480",480,67.5,68.2
"481",481,67.5,68.2
"482",482,67.5,68.2
"483",483,67.5,68.2
"484",484,67.5,68.2
"485",485,67.5,68.2
"486",486,67.5,68.2
"487",487,67.5,68.2
"488",488,67.5,68.2
"489",489,67.5,68.2
"490",490,67.5,68.2
"491",491,67.5,68.2
"492",492,67.5,68.2
"493",493,67.5,68.2
"494",494,67.5,68.2
"495",495,67.5,68.2
"496",496,67.5,68.2
"497",497,67.5,68.2
"498",498,67.5,68.2
"499",499,67.5,68.2
"500",500,67.5,68.2
"501",501,67.5,68.2
"502",502,67.5,68.2
"503",503,67.5,68.2
"504",504,67.5,68.2
"505",505,66.5,68.2
"506",506,66.5,68.2
"507",507,66.5,68.2
"508",508,66.5,68.2
"509",509,66.5,68.2
"510",510,66.5,68.2
"511",511,66.5,68.2
"512",512,66.5,68.2
"513",513,66.5,68.2
"514",514,66.5,68.2
"515",515,66.5,68.2
"516",516,66.5,68.2
"517",517,66.5,68.2
"518",518,66.5,68.2
"519",519,65.5,68.2
"520",520,65.5,68.2
"521",521,65.5,68.2
"522",522,65.5,68.2
"523",523,65.5,68.2
"524",524,65.5,68.2
"525",525,65.5,68.2
"526",526,64,68.2
"527",527,72.5,69.2
"528",528,72.5,69.2
"529",529,71.5,69.2
"530",530,71.5,69.2
"531",531,71.5,69.2
"532",532,71.5,69.2
"533",533,71.5,69.2
"534",534,70.5,69.2
"535",535,70.5,69.2
"536",536,70.5,69.2
"537",537,70.5,69.2
"538",538,70.5,69.2
"539",539,70.5,69.2
"540",540,70.5,69.2
"541",541,70.5,69.2
"542",542,70.5,69.2
"543",543,70.5,69.2
"544",544,70.5,69.2
"545",545,70.5,69.2
"546",546,70.5,69.2
"547",547,70.5,69.2
"548",548,70.5,69.2
"549",549,70.5,69.2
"550",550,70.5,69.2
"551",551,70.5,69.2
"552",552,69.5,69.2
"553",553,69.5,69.2
"554",554,69.5,69.2
"555",555,69.5,69.2
"556",556,69.5,69.2
"557",557,69.5,69.2
"558",558,69.5,69.2
"559",559,69.5,69.2
"560",560,69.5,69.2
"561",561,69.5,69.2
"562",562,69.5,69.2
"563",563,69.5,69.2
"564",564,69.5,69.2
"565",565,69.5,69.2
"566",566,69.5,69.2
"567",567,69.5,69.2
"568",568,69.5,69.2
"569",569,69.5,69.2
"570",570,69.5,69.2
"571",571,69.5,69.2
"572",572,69.5,69.2
"573",573,69.5,69.2
"574",574,69.5,69.2
"575",575,69.5,69.2
"576",576,69.5,69.2
"577",577,69.5,69.2
"578",578,69.5,69.2
"579",579,69.5,69.2
"580",580,69.5,69.2
"581",581,69.5,69.2
"582",582,69.5,69.2
"583",583,69.5,69.2
"584",584,69.5,69.2
"585",585,68.5,69.2
"586",586,68.5,69.2
"587",587,68.5,69.2
"588",588,68.5,69.2
"589",589,68.5,69.2
"590",590,68.5,69.2
"591",591,68.5,69.2
"592",592,68.5,69.2
"593",593,68.5,69.2
"594",594,68.5,69.2
"595",595,68.5,69.2
"596",596,68.5,69.2
"597",597,68.5,69.2
"598",598,68.5,69.2
"599",599,68.5,69.2
"600",600,68.5,69.2
"601",601,68.5,69.2
"602",602,68.5,69.2
"603",603,68.5,69.2
"604",604,68.5,69.2
"605",605,68.5,69.2
"606",606,68.5,69.2
"607",607,68.5,69.2
"608",608,68.5,69.2
"609",609,68.5,69.2
"610",610,68.5,69.2
"611",611,68.5,69.2
"612",612,68.5,69.2
"613",613,68.5,69.2
"614",614,68.5,69.2
"615",615,68.5,69.2
"616",616,68.5,69.2
"617",617,68.5,69.2
"618",618,68.5,69.2
"619",619,68.5,69.2
"620",620,68.5,69.2
"621",621,68.5,69.2
"622",622,68.5,69.2
"623",623,68.5,69.2
"624",624,68.5,69.2
"625",625,68.5,69.2
"626",626,68.5,69.2
"627",627,68.5,69.2
"628",628,68.5,69.2
"629",629,68.5,69.2
"630",630,68.5,69.2
"631",631,68.5,69.2
"632",632,68.5,69.2
"633",633,67.5,69.2
"634",634,67.5,69.2
"635",635,67.5,69.2
"636",636,67.5,69.2
"637",637,67.5,69.2
"638",638,67.5,69.2
"639",639,67.5,69.2
"640",640,67.5,69.2
"641",641,67.5,69.2
"642",642,67.5,69.2
"643",643,67.5,69.2
"644",644,67.5,69.2
"645",645,67.5,69.2
"646",646,67.5,69.2
"647",647,67.5,69.2
"648",648,67.5,69.2
"649",649,67.5,69.2
"650",650,67.5,69.2
"651",651,67.5,69.2
"652",652,67.5,69.2
"653",653,67.5,69.2
"654",654,67.5,69.2
"655",655,67.5,69.2
"656",656,67.5,69.2
"657",657,67.5,69.2
"658",658,67.5,69.2
"659",659,67.5,69.2
"660",660,67.5,69.2
"661",661,67.5,69.2
"662",662,67.5,69.2
"663",663,67.5,69.2
"664",664,67.5,69.2
"665",665,67.5,69.2
"666",666,67.5,69.2
"667",667,67.5,69.2
"668",668,67.5,69.2
"669",669,67.5,69.2
"670",670,67.5,69.2
"671",671,66.5,69.2
"672",672,66.5,69.2
"673",673,66.5,69.2
"674",674,66.5,69.2
"675",675,66.5,69.2
"676",676,66.5,69.2
"677",677,66.5,69.2
"678",678,66.5,69.2
"679",679,66.5,69.2
"680",680,66.5,69.2
"681",681,66.5,69.2
"682",682,66.5,69.2
"683",683,66.5,69.2
"684",684,65.5,69.2
"685",685,65.5,69.2
"686",686,65.5,69.2
"687",687,65.5,69.2
"688",688,65.5,69.2
"689",689,65.5,69.2
"690",690,65.5,69.2
"691",691,64.5,69.2
"692",692,64.5,69.2
"693",693,64,69.2
"694",694,72.5,70.2
"695",695,71.5,70.2
"696",696,71.5,70.2
"697",697,71.5,70.2
"698",698,71.5,70.2
"699",699,71.5,70.2
"700",700,71.5,70.2
"701",701,71.5,70.2
"702",702,71.5,70.2
"703",703,71.5,70.2
"704",704,71.5,70.2
"705",705,70.5,70.2
"706",706,70.5,70.2
"707",707,70.5,70.2
"708",708,70.5,70.2
"709",709,70.5,70.2
"710",710,70.5,70.2
"711",711,70.5,70.2
"712",712,70.5,70.2
"713",713,70.5,70.2
"714",714,70.5,70.2
"715",715,70.5,70.2
"716",716,70.5,70.2
"717",717,70.5,70.2
"718",718,70.5,70.2
"719",719,69.5,70.2
"720",720,69.5,70.2
"721",721,69.5,70.2
"722",722,69.5,70.2
"723",723,69.5,70.2
"724",724,69.5,70.2
"725",725,69.5,70.2
"726",726,69.5,70.2
"727",727,69.5,70.2
"728",728,69.5,70.2
"729",729,69.5,70.2
"730",730,69.5,70.2
"731",731,69.5,70.2
"732",732,69.5,70.2
"733",733,69.5,70.2
"734",734,69.5,70.2
"735",735,69.5,70.2
"736",736,69.5,70.2
"737",737,69.5,70.2
"738",738,69.5,70.2
"739",739,69.5,70.2
"740",740,69.5,70.2
"741",741,69.5,70.2
"742",742,69.5,70.2
"743",743,69.5,70.2
"744",744,68.5,70.2
"745",745,68.5,70.2
"746",746,68.5,70.2
"747",747,68.5,70.2
"748",748,68.5,70.2
"749",749,68.5,70.2
"750",750,68.5,70.2
"751",751,68.5,70.2
"752",752,68.5,70.2
"753",753,68.5,70.2
"754",754,68.5,70.2
"755",755,68.5,70.2
"756",756,68.5,70.2
"757",757,68.5,70.2
"758",758,68.5,70.2
"759",759,68.5,70.2
"760",760,68.5,70.2
"761",761,68.5,70.2
"762",762,68.5,70.2
"763",763,68.5,70.2
"764",764,68.5,70.2
"765",765,67.5,70.2
"766",766,67.5,70.2
"767",767,67.5,70.2
"768",768,67.5,70.2
"769",769,67.5,70.2
"770",770,67.5,70.2
"771",771,67.5,70.2
"772",772,67.5,70.2
"773",773,67.5,70.2
"774",774,67.5,70.2
"775",775,67.5,70.2
"776",776,67.5,70.2
"777",777,67.5,70.2
"778",778,67.5,70.2
"779",779,67.5,70.2
"780",780,67.5,70.2
"781",781,67.5,70.2
"782",782,67.5,70.2
"783",783,67.5,70.2
"784",784,66.5,70.2
"785",785,66.5,70.2
"786",786,66.5,70.2
"787",787,66.5,70.2
"788",788,65.5,70.2
"789",789,65.5,70.2
"790",790,65.5,70.2
"791",791,65.5,70.2
"792",792,65.5,70.2
"793",793,72.5,71.2
"794",794,72.5,71.2
"795",795,71.5,71.2
"796",796,71.5,71.2
"797",797,71.5,71.2
"798",798,71.5,71.2
"799",799,70.5,71.2
"800",800,70.5,71.2
"801",801,70.5,71.2
"802",802,70.5,71.2
"803",803,70.5,71.2
"804",804,70.5,71.2
"805",805,70.5,71.2
"806",806,69.5,71.2
"807",807,69.5,71.2
"808",808,69.5,71.2
"809",809,69.5,71.2
"810",810,69.5,71.2
"811",811,69.5,71.2
"812",812,69.5,71.2
"813",813,69.5,71.2
"814",814,69.5,71.2
"815",815,69.5,71.2
"816",816,69.5,71.2
"817",817,69.5,71.2
"818",818,69.5,71.2
"819",819,69.5,71.2
"820",820,69.5,71.2
"821",821,69.5,71.2
"822",822,69.5,71.2
"823",823,69.5,71.2
"824",824,69.5,71.2
"825",825,69.5,71.2
"826",826,68.5,71.2
"827",827,68.5,71.2
"828",828,68.5,71.2
"829",829,68.5,71.2
"830",830,68.5,71.2
"831",831,68.5,71.2
"832",832,68.5,71.2
"833",833,68.5,71.2
"834",834,68.5,71.2
"835",835,68.5,71.2
"836",836,68.5,71.2
"837",837,68.5,71.2
"838",838,68.5,71.2
"839",839,68.5,71.2
"840",840,68.5,71.2
"841",841,68.5,71.2
"842",842,68.5,71.2
"843",843,68.5,71.2
"844",844,67.5,71.2
"845",845,67.5,71.2
"846",846,67.5,71.2
"847",847,67.5,71.2
"848",848,67.5,71.2
"849",849,67.5,71.2
"850",850,67.5,71.2
"851",851,67.5,71.2
"852",852,67.5,71.2
"853",853,67.5,71.2
"854",854,67.5,71.2
"855",855,65.5,71.2
"856",856,65.5,71.2
"857",857,73,72.2
"858",858,72.5,72.2
"859",859,72.5,72.2
"860",860,72.5,72.2
"861",861,72.5,72.2
"862",862,72.5,72.2
"863",863,72.5,72.2
"864",864,72.5,72.2
"865",865,71.5,72.2
"866",866,71.5,72.2
"867",867,71.5,72.2
"868",868,71.5,72.2
"869",869,71.5,72.2
"870",870,71.5,72.2
"871",871,71.5,72.2
"872",872,71.5,72.2
"873",873,71.5,72.2
"874",874,70.5,72.2
"875",875,70.5,72.2
"876",876,70.5,72.2
"877",877,70.5,72.2
"878",878,69.5,72.2
"879",879,69.5,72.2
"880",880,69.5,72.2
"881",881,69.5,72.2
"882",882,69.5,72.2
"883",883,69.5,72.2
"884",884,69.5,72.2
"885",885,69.5,72.2
"886",886,69.5,72.2
"887",887,69.5,72.2
"888",888,69.5,72.2
"889",889,68.5,72.2
"890",890,68.5,72.2
"891",891,68.5,72.2
"892",892,68.5,72.2
"893",893,67.5,72.2
"894",894,67.5,72.2
"895",895,67.5,72.2
"896",896,67.5,72.2
"897",897,65.5,72.2
"898",898,73,73.2
"899",899,73,73.2
"900",900,73,73.2
"901",901,72.5,73.2
"902",902,72.5,73.2
"903",903,71.5,73.2
"904",904,71.5,73.2
"905",905,70.5,73.2
"906",906,70.5,73.2
"907",907,70.5,73.2
"908",908,69.5,73.2
"909",909,69.5,73.2
"910",910,69.5,73.2
"911",911,69.5,73.2
"912",912,68.5,73.2
"913",913,68.5,73.2
"914",914,68.5,73.2
"915",915,72.5,73.7
"916",916,72.5,73.7
"917",917,72.5,73.7
"918",918,72.5,73.7
"919",919,71.5,73.7
"920",920,71.5,73.7
"921",921,70.5,73.7
"922",922,70.5,73.7
"923",923,70.5,73.7
"924",924,69.5,73.7
"925",925,69.5,73.7
"926",926,69.5,73.7
"927",927,69.5,73.7
"928",928,69.5,73.7
